m1_source,m2_source,dL,z,likelihood,posterior
4.939603339893298362e+00,1.578800662081194517e+00,4.412577140088108081e+02,9.344133355967963739e-02,4.297113225925391881e-06,4.297113225925391881e-06
6.110464871360673733e+00,1.398780509176051678e+00,3.052154460131815767e+02,6.586616153123413253e-02,9.451401839784881318e-06,9.451401839784881318e-06
5.442183195711502108e+00,1.508602004343017944e+00,3.511175900000000070e+02,7.527830092366764869e-02,7.017479419574725546e-06,7.017479419574725546e-06
3.645156579863246371e+00,2.098804795683723690e+00,3.577670200000000023e+02,7.663237888870988446e-02,6.742089203093883554e-06,6.742089203093883554e-06
5.924576976084829916e+00,1.417081973229468606e+00,3.403908332771255232e+02,7.308898594165370854e-02,7.497177938223790546e-06,7.497177938223790546e-06
6.907867430644190954e+00,1.251588370260073191e+00,3.620552587346085147e+02,7.750439226987219932e-02,6.572693281492056115e-06,6.572693281492056115e-06
7.163683950950693102e+00,1.257822031972070098e+00,2.646689499999999953e+02,5.745508203145734127e-02,1.276944857042315213e-05,1.276944857042315213e-05
7.158966252379621586e+00,1.246650620759206962e+00,2.889772300000000200e+02,6.250883603084866902e-02,1.061004631479306523e-05,1.061004631479306523e-05
8.578986709439591962e+00,1.112372818221964099e+00,2.412560291308918750e+02,5.255512418755832471e-02,1.551130529492429757e-05,1.551130529492429757e-05
4.460679294513359316e+00,1.770371516118179223e+00,3.519064799999999877e+02,7.543907178006445391e-02,6.983966710026444487e-06,6.983966710026444487e-06
